story_id,title,epic_id,description,acceptance_criteria,validation_plan,technical_solution,priority,story_points
S001,Create Exercise Record API,E01,"As a coach, I want to create an exercise with preparation, effort, and rest durations so that sessions can reuse standardized exercise definitions.","AC1 Exercise cannot be created without title | AC2 Preparation/Effort/Rest durations are required and >= 0 | AC3 API returns created record identifier and normalized values","VP1 Unit test create payload validation | VP2 Integration test insert through Script Include | VP3 Negative test missing duration values","TS1 Implement create method in Exercise Script Include extending Custom_Object | TS2 Use WorkoutUtil for duration normalization | TS3 Enforce field checks before GlideRecord insert",P0,3
S002,Update and Version-Safe Exercise Editing,E01,"As a coach, I want to edit exercise metadata and durations so that my library stays up to date without breaking existing session history.","AC1 Existing exercise can be updated by id | AC2 Invalid negative durations are rejected | AC3 Active sessions keep snapshot values and are not retroactively modified","VP1 Unit test update happy path | VP2 Regression test that session exercise history is unchanged after exercise edit | VP3 ACL-aware update test","TS1 Add update method with allowlist field patching | TS2 Preserve history by reading from Session/Session Exercise snapshots only | TS3 Add audit logging helper in WorkoutUtil",P0,5
S003,Search and Filter Exercise Catalog,E01,"As a user, I want to filter exercises by title and duration ranges so that I can quickly find relevant exercises when building sets and sessions.","AC1 Filter supports partial title match | AC2 Filter supports min/max duration constraints | AC3 Results are paginated and sorted","VP1 Query-level test for title matching | VP2 Boundary test for duration filters | VP3 Pagination consistency test","TS1 Implement list method using GlideQuery/GlideRecord conditions | TS2 Add optional query params object | TS3 Return stable DTO with paging metadata",P1,3
S004,Create Hierarchical Categories,E02,"As an admin, I want categories to support parent-child relationships so that workout taxonomy can reflect muscle groups and training goals.","AC1 Category can be created without parent as root | AC2 Category can be created with valid parent id | AC3 Circular parent assignment is rejected","VP1 Unit tests for root and child creation | VP2 Negative tests for self-parent and circular chain | VP3 Data integrity check on category tree","TS1 Add category create/update methods | TS2 Implement parent chain validation utility in WorkoutUtil | TS3 Add defensive checks before write",P0,5
S005,Assign Exercises to Categories,E02,"As a coach, I want to assign one exercise to multiple categories so that category-based session generation can work.","AC1 Exercise-category m2m row can be created for valid references | AC2 Duplicate mappings are prevented | AC3 Removing mapping does not delete base exercise","VP1 Integration test for m2m insert/delete | VP2 Duplicate prevention test | VP3 Referential integrity test","TS1 Implement mapping management in ExerciseCategory Script Include | TS2 Add uniqueness check before insert | TS3 Use transaction-safe delete by sys_id",P0,3
S006,Retrieve Category Tree With Exercise Counts,E02,"As a user, I want to view categories as a tree with exercise counts so that I can understand library distribution.","AC1 Response returns parent-child structure | AC2 Each node includes direct and total exercise counts | AC3 Empty categories are shown with zero counts","VP1 Tree shape test for nested categories | VP2 Count correctness test with m2m fixtures | VP3 Performance test on medium dataset","TS1 Build tree assembler utility in WorkoutUtil | TS2 Query exercise-category mappings once and aggregate in memory | TS3 Return deterministic order",P1,5
S007,Create Set With Duration Override Rules,E03,"As a coach, I want to create sets inheriting exercise behavior with optional duration override so that I can standardize interval patterns.","AC1 Set supports override durations | AC2 If use_exercise_durations=true, linked exercise timings are used | AC3 Override fields validated when override mode is active","VP1 Unit tests for override and inherited modes | VP2 Validation test for conflicting flags | VP3 Integration test create and read set behavior","TS1 Implement Set Script Include methods with inheritance-aware logic | TS2 Encode rule resolution helper in WorkoutUtil | TS3 Persist explicit mode flag",P0,5
S008,Add Exercises and Nested Sets to Set,E03,"As a coach, I want sets to include exercises and nested sets in an explicit order so that complex workout blocks can be built.","AC1 Exercise-Set m2m supports sequence order | AC2 Nested set references are allowed | AC3 Ordering can be updated without duplicating links","VP1 Integration tests for ordered inserts | VP2 Update test for reorder operations | VP3 Fetch test returns resolved sequence","TS1 Extend ExerciseSet Script Include for ordered link CRUD | TS2 Add reorder endpoint with positional updates | TS3 Use GlideRecord ordering by order field",P0,5
S009,Prevent Cycles in Set Graph,E03,"As a system, I must reject cyclic set references so that session generation does not enter infinite loops.","AC1 Direct cycle A->A is blocked | AC2 Indirect cycle A->B->A is blocked | AC3 Error message identifies offending path","VP1 Graph validation unit tests for direct/indirect cycles | VP2 Regression test during link update | VP3 Negative integration test through API","TS1 Implement DFS/BFS graph check in WorkoutUtil | TS2 Run validation before insert/update of Exercise-Set links | TS3 Return structured error payload",P0,8
S010,Create Set-Based Session Definition,E04,"As a planner, I want to define a set-based session template so that repeatable workouts can be generated quickly.","AC1 Definition supports type=set-based | AC2 Supports repetition/shuffle/infinite flags | AC3 Invalid type combinations are rejected","VP1 Unit tests for type-specific validation | VP2 Integration test create/read template | VP3 Negative test for bad flag combinations","TS1 Add SessionDefinition Script Include with validation matrix | TS2 Persist normalized template options | TS3 Provide DTO method for generation service",P0,3
